match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,1,0,0,0,0,0-0,1,TRUE,1,5b28f39s18f+39*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,2,0,0,0,0,15-0,1,TRUE,1,6f28f+39b3z19*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,3,0,0,0,0,30-0,1,TRUE,1,5b28f18f19f29f37b19r3d#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,4,0,0,0,0,40-0,1,TRUE,1,4n,5n,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,5,0,0,0,0,40-15,1,TRUE,1,5r19f18f19f!2d@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,6,0,0,0,0,40-30,1,TRUE,1,c6*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,7,0,0,1,0,0-0,2,TRUE,2,6n,6b29b29f38b37b27f39b37b28f1n@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,8,0,0,1,0,15-0,2,TRUE,2,4b!1w#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,9,0,0,1,0,30-0,2,TRUE,2,6n,6b39f39f1d@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,10,0,0,1,0,40-0,2,TRUE,2,4*,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,11,0,0,1,1,0-0,3,TRUE,1,4f19f3w#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,12,0,0,1,1,0-15,3,TRUE,1,4n,6f38b38b39b2n@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,13,0,0,1,1,0-30,3,TRUE,1,4r29f28b28f38b38b38b38b28f3n@,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,14,0,0,1,1,15-30,3,TRUE,1,4n,4b39f37b19f28f39b38f19f17f29b38b28f38*,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,15,0,0,1,1,30-30,3,TRUE,1,6w,5b28b29f39b18f17f17f38b28f19f27b38s38s39s39b37b38f29f;19f19f28b3n@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,16,0,0,1,1,40-30,3,TRUE,1,4n,4b3n@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,17,0,0,2,1,0-0,4,TRUE,2,5b28f27b3x@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,18,0,0,2,1,15-0,4,TRUE,2,6w,4b2d@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,19,0,0,2,1,30-0,4,TRUE,2,4n,6f39b38f38b28f38b38b39b39b19f38b1n@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,20,0,0,2,1,40-0,4,TRUE,2,6f2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,21,0,0,2,2,0-0,5,TRUE,1,4f2d#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,22,0,0,2,2,15-0,5,TRUE,1,4b28f29f18f29f19f29f18f38b29f38b38f18f2n#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,23,0,0,2,2,30-0,5,TRUE,1,4x,5r37b+18*,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,24,0,0,2,2,40-0,5,TRUE,1,c6*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,25,0,0,3,2,0-0,6,TRUE,2,5b2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,26,0,0,3,2,15-0,6,TRUE,2,4b29f39s38b39f3w@,,Successful challenge from RBA. Point replayed. Was 4w;; 4b39.,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,27,0,0,3,2,30-0,6,TRUE,2,4f1n@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,28,0,0,3,2,40-0,6,TRUE,2,6f39f28f2d@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,29,0,0,3,3,0-0,7,TRUE,1,c5f3d#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,30,0,0,3,3,15-0,7,TRUE,1,c4b38b+39m1o17*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,31,0,0,3,3,30-0,7,TRUE,1,6s3d#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,32,0,0,3,3,40-0,7,TRUE,1,6f3d#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,33,0,0,4,3,0-0,8,TRUE,2,6d,5b28f38f1d@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,34,0,0,4,3,15-0,8,TRUE,2,4b29f18f39b2d@,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,35,0,0,4,3,15-15,8,TRUE,2,6x,5f29f17f+39b3o27l1v37*,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,36,0,0,4,3,15-30,8,TRUE,2,4b2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,37,0,0,4,3,30-30,8,TRUE,2,4r28f+18f37*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,38,0,0,4,3,30-40,8,TRUE,2,4b2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,39,0,0,4,3,40-40,8,TRUE,2,4r27f+39b3n#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,40,0,0,4,3,AD-40,8,TRUE,2,6d,5f28f38b38b38b37b39b29f28b39b38b19f28y+17*,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,41,0,0,4,3,40-40,8,TRUE,2,6b2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,42,0,0,4,3,AD-40,8,TRUE,2,4n,5b29f3w#,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,43,0,0,4,3,40-40,8,TRUE,2,5b29b28f18f18f18f39b38b38f28b38y17f19f3d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,44,0,0,4,3,AD-40,8,TRUE,2,4d,4b39b18f19f29f28f38b38b39b39s38f19f19f29f29b38b38b1n@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,45,0,0,4,4,0-0,9,TRUE,1,6b18f19l1f28*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,46,0,0,4,4,15-0,9,TRUE,1,5d;,4b2n@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,47,0,0,4,4,30-0,9,TRUE,1,6*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,48,0,0,4,4,40-0,9,TRUE,1,4n,4b38b!3x@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,49,0,0,4,4,40-15,9,TRUE,1,4n,5f17f19f29b29f38b39b3d@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,50,0,0,5,4,0-0,10,TRUE,2,4n,4f2d@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,51,0,0,5,4,15-0,10,TRUE,2,4n,5b28f19f17f39b28f19f18f17f18f39b2d@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,52,0,0,5,4,30-0,10,TRUE,2,6n,6b3w@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,53,0,0,5,4,40-0,10,TRUE,2,6f28f18f3n#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,54,0,0,5,5,0-0,11,TRUE,1,4f28f+39s2n#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,55,0,0,5,5,15-0,11,TRUE,1,4b29f29b2d@,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,56,0,0,5,5,30-0,11,TRUE,1,6b27f28f1d@,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,57,0,0,5,5,40-0,11,TRUE,1,4s2n#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,58,0,0,6,5,0-0,12,TRUE,2,6s39f38s2n#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,59,0,0,6,5,15-0,12,TRUE,2,6f2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,60,0,0,6,5,30-0,12,TRUE,2,6s2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,61,0,0,6,5,40-0,12,TRUE,2,6d,4b29f38b3n@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,62,0,0,6,6,0-0,13,TRUE,1,4f1n#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,63,0,0,6,6,0-1,13,TRUE,2,6f1w#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,64,0,0,6,6,1-1,13,TRUE,2,4r27y+17*,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,65,0,0,6,6,1-2,13,TRUE,1,6d,4b38b39b29f39b39b39b38b19f18f39b2n@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,66,0,0,6,6,2-2,13,TRUE,1,4*,,Unsuccessful challenge from RBA,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,67,0,0,6,6,2-3,13,TRUE,2,6f39f38*,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,68,0,0,6,6,3-3,13,TRUE,2,6b29f29f28f39b38b39b2d@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,69,0,0,6,6,3-4,13,TRUE,1,6w,4b39b3w@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,70,0,0,6,6,3-5,13,TRUE,1,6n,5b39b37s39f3w@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,71,0,0,6,6,6-3,13,TRUE,2,6f29f39f3x@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,72,0,1,0,0,0-0,14,TRUE,2,6b38b39b38b28b38b38f38b28f;3w@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,73,0,1,0,0,15-0,14,TRUE,2,4b38f18r28f38*,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,74,0,1,0,0,30-0,14,TRUE,2,5b29f18f18f27f+39b1v^17*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,75,0,1,0,0,30-15,14,TRUE,2,6f28f18f38b28s39b27s+39m3o17l19f38b29f37b28f1w@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,76,0,1,0,0,40-15,14,TRUE,2,4r2n#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,77,0,1,0,1,0-0,15,TRUE,1,6n,5f1n@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,78,0,1,0,1,15-0,15,TRUE,1,6f38b29f38b18r2j=17*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,79,0,1,0,1,30-0,15,TRUE,1,5b29b38b27f1n@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,80,0,1,0,1,30-15,15,TRUE,1,6w,5f29f+38s2v3x@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,81,0,1,0,1,30-30,15,TRUE,1,4x,5f19f38b27b37b29f18f19f28b39b38f3n@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,82,0,1,0,1,40-30,15,TRUE,1,4n,5b39b38b39b;28f+19f2n#,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,83,0,1,0,1,40-40,15,TRUE,1,4d,4n,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,84,0,1,0,1,40-AD,15,TRUE,1,4b37b+38m2o17*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,85,0,1,0,1,40-40,15,TRUE,1,4n,5d,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,86,0,1,0,1,40-AD,15,TRUE,1,5f29f18f1w@,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,87,0,1,0,1,40-40,15,TRUE,1,6b29f27f19f28b38s28f19f27b28b38b29f1n@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,88,0,1,0,1,40-AD,15,TRUE,1,6r19f18f17f3d@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,89,0,1,0,2,0-0,16,TRUE,2,4r28f+39b2v^17*,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,90,0,1,0,2,15-0,16,TRUE,2,c6f28f3n@,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,91,0,1,0,2,15-15,16,TRUE,2,4r18f+39m!2n#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,92,0,1,0,2,30-15,16,TRUE,2,4n,5f38b38b38b38b38b39b37b38b38b37s29f39b28f39s38f+39s!#,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,93,0,1,0,2,40-15,16,TRUE,2,6b29f3w#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,94,0,1,0,2,40-30,16,TRUE,2,c4b28f19f18f;39f17*,,Winner speed 149 kph,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,95,0,1,0,2,40-40,16,TRUE,2,4+r1j1d@,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,96,0,1,0,2,40-AD,16,TRUE,2,6f28f39b38b28f3x@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,97,0,1,0,2,40-40,16,TRUE,2,5b29f29f17f17f3x@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,98,0,1,0,2,AD-40,16,TRUE,2,4d,4b37b38b38b39b18f19f!2d@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,99,0,1,0,3,0-0,17,TRUE,1,4w;,5b28f28f18f27f39b39b28f29b2d@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,100,0,1,0,3,15-0,17,TRUE,1,4n,6n,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,101,0,1,0,3,15-15,17,TRUE,1,4f2n#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,102,0,1,0,3,30-15,17,TRUE,1,4b29f37y17f-3d@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,103,0,1,0,3,30-30,17,TRUE,1,5n;,6n,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,104,0,1,0,3,30-40,17,TRUE,1,5f2d#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,105,0,1,0,3,40-40,17,TRUE,1,6d;,5b29f28f38b38b37f18f17f18f27f+39*,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,106,0,1,0,3,AD-40,17,TRUE,1,4s3!#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,107,0,1,1,3,0-0,18,TRUE,2,5b19f18f18*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,108,0,1,1,3,0-15,18,TRUE,2,4n,5n,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,109,0,1,1,3,0-30,18,TRUE,2,4f2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,110,0,1,1,3,15-30,18,TRUE,2,4b39b29f18f1d@,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,111,0,1,1,3,15-40,18,TRUE,2,4r27u+17r-2z37*,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,112,0,1,1,3,30-40,18,TRUE,2,c6f28f38s39f38b29f18f+39s!3n#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,113,0,1,2,3,0-0,19,TRUE,1,6d,6b29f19f19f3d@,Up to 1:54:34,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,114,0,1,2,3,0-15,19,TRUE,1,4b37b+28f18*,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,115,0,1,2,3,0-30,19,TRUE,1,c4f19f17f18r3w#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,116,0,1,2,3,0-40,19,TRUE,1,6f39t2n#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,117,0,1,2,4,0-0,20,TRUE,2,4f2d#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,118,0,1,2,4,15-0,20,TRUE,2,5b28f18f18f19f28b28f18f19f18f18f28b29b29b39b38b29f39b27b17*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,119,0,1,2,4,15-15,20,TRUE,2,4r1w#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,120,0,1,2,4,30-15,20,TRUE,2,6w,4b29f39b37b29f18f39b38b39f38b19f38s37b+38s2v29m3w#,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,121,0,1,2,4,30-30,20,TRUE,2,4f1w#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,122,0,1,2,4,40-30,20,TRUE,2,4n,4b28r19f3w@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,123,0,1,2,5,0-0,21,TRUE,1,4w;,5f18f+39b1v17r3w#,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,124,0,1,2,5,15-0,21,TRUE,1,6f38b3w@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,125,0,1,2,5,15-15,21,TRUE,1,5n,6b28b29b39b39b38s39b39f39b29f18r19f18*,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,126,0,1,2,5,30-15,21,TRUE,1,4s!#,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,127,0,1,2,5,40-15,21,TRUE,1,4w,5d;,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,128,0,1,2,5,40-30,21,TRUE,1,4n,c4b38b19r38b39b39b39b38b1w@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,129,0,1,2,5,40-40,21,TRUE,1,c4n,5b17f18f2d@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,130,0,1,2,5,AD-40,21,TRUE,1,6d,5b28f1x@,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,131,0,1,2,5,40-40,21,TRUE,1,c5b28f39b27f+39b3z17f1v38*,,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,132,0,1,2,5,AD-40,21,TRUE,1,4n,5f1w@,,1
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,133,0,1,3,5,0-0,22,TRUE,2,4f3n#,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,134,0,1,3,5,15-0,22,TRUE,2,5f29f38b3d@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,135,0,1,3,5,30-0,22,TRUE,2,4f29f38s;38s+38b1d@,,,2
20191124-M-Davis_Cup_Finals-F-Felix_Auger_Aliassime-Roberto_Bautista_Agut,136,0,1,3,5,40-0,22,TRUE,2,6w,5b39b38b38b29f19f19f39b27b3w@,,2